Symbol,Name,Country,Date,Type,Last,Unit,URL,Importance,Forecast1,ForecastDate1,Forecast2,ForecastDate2,Forecast3,ForecastDate3,Forecast4,ForecastDate4
USDERN:CUR,USDERN,Eritrea,2024-11-21T00:00:00,currency,15,,/eritrea/currency,166,15,31/12/2024,15,31/03/2025,15,30/06/2025,15,30/09/2025
USDSZL:CUR,USDSZL,Swaziland,2024-11-22T12:05:40,currency,18.18616,,/swaziland/currency,167,17.562807,31/12/2024,17.757351,31/03/2025,17.955369,30/06/2025,18.153387,30/09/2025
USDGYD:CUR,USDGYD,Guyana,2024-11-22T02:03:12,currency,209.2,,/guyana/currency,169,208.84158,31/12/2024,209.38316,31/03/2025,209.92474,30/06/2025,210.46632,30/09/2025
USDBIF:CUR,USDBIF,Burundi,2024-11-22T12:05:37,currency,2967.60331,,/burundi/currency,170,2912.85675,31/12/2024,2928.2135,31/03/2025,2943.86,30/06/2025,2959.5065,30/09/2025
USDKYD:CUR,USDKYD,Cayman Islands,2024-11-21T00:00:00,currency,0.83125,,/cayman-islands/currency,171,0.832746,31/12/2024,0.834243,31/03/2025,0.835739,30/06/2025,0.837235,30/09/2025
USDMVR:CUR,USDMVR,Maldives,2024-11-22T12:05:31,currency,15.45,,/maldives/currency,172,15.485509,31/12/2024,15.561018,31/03/2025,15.638068,30/06/2025,15.713577,30/09/2025
USDLSL:CUR,USDLSL,Lesotho,2024-11-22T12:05:28,currency,18.17816,,/lesotho/currency,173,17.581608,31/12/2024,17.784954,31/03/2025,17.991776,30/06/2025,18.200336,30/09/2025
USDLRD:CUR,USDLRD,Liberia,2024-11-21T00:00:00,currency,180.5,,/liberia/currency,174,192.649,31/12/2024,193.798,31/03/2025,194.96615,30/06/2025,196.1343,30/09/2025
USDCVE:CUR,USDCVE,Cape Verde,2024-11-22T11:15:59,currency,105.9731,,/cape-verde/currency,175,101.905917,31/12/2024,102.463334,31/03/2025,103.030885,30/06/2025,103.598437,30/09/2025
USDDJF:CUR,USDDJF,Djibouti,2024-11-22T12:05:39,currency,178.89696,,/djibouti/currency,179,178.594146,31/12/2024,179.075051,31/03/2025,179.555957,30/06/2025,180.036863,30/09/2025
USDSCR:CUR,USDSCR,Seychelles,2024-11-22T12:05:39,currency,12.66516,,/seychelles/currency,181,14.480954,31/12/2024,15.396229,31/03/2025,16.368708,30/06/2025,17.40384,30/09/2025
USDSOS:CUR,USDSOS,Somalia,2024-11-22T12:05:39,currency,574.12978,,/somalia/currency,186,572.9414,31/12/2024,574.8828,31/03/2025,576.8242,30/06/2025,578.8227,30/09/2025
USDGMD:CUR,USDGMD,Gambia,2024-11-22T12:05:44,currency,71,,/gambia/currency,190,72.15065,31/12/2024,72.80845,31/03/2025,73.46625,30/06/2025,74.13835,30/09/2025
USDKMF:CUR,USDKMF,Comoros,2024-11-22T12:05:46,currency,469.65,,/comoros/currency,194,453.118135,31/12/2024,455.68627,31/03/2025,458.29946,30/06/2025,460.91265,30/09/2025
USDSTD:CUR,USDSTD,Sao Tome And Principe,2024-11-22T12:05:40,currency,23.39606,,/sao-tome-and-principe/currency,197,22.982955,31/12/2024,23.32044,31/03/2025,23.66472,30/06/2025,24.011265,30/09/2025
USDAWG:CUR,USDAWG,Aruba,2024-04-09T00:00:00,currency,1.78,,/usdawg:cur,200,1.78,31/12/2024,1.78,31/03/2025,1.78,30/06/2025,1.78,30/09/2025
